SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540821,SADHNA      ,X ,Q,26.45,26.45,25.05,25.05,25.05,25.25,4,830,20806.00,
540824,ASTRON      ,B ,Q,109.10,110.45,106.55,107.30,109.00,108.10,175,19588,2118808.00,
540861,IPRU3018    ,B ,Q,8.70,8.70,8.70,8.70,8.70,8.47,1,62,539.00,
540879,APOLLO      ,B ,Q,121.75,123.10,117.00,121.70,121.00,119.75,81,2736,331992.00,
540900,NEWGEN      ,B ,Q,316.25,319.40,308.05,309.60,311.40,307.40,347,3954,1238364.00,
540901,PRAXIS      ,B ,Q,161.00,177.90,161.00,173.50,173.50,166.00,13,217,37038.00,
540902,AMBER       ,B ,Q,880.00,889.00,870.00,876.50,870.00,881.10,66,531,467830.00,
540903,CRPRISK     ,M ,Q,33.00,33.00,31.00,31.00,31.00,35.45,2,4000,128000.00,
540904,TIRUFOAM    ,X ,Q,106.50,106.50,106.50,106.50,106.50,112.00,3,51,5431.00,
540935,GALAXYSURF  ,B ,Q,1171.35,1190.00,1164.10,1188.35,1190.00,1155.50,23,82,96440.00,
540938,GUJHYSPIN   ,M ,Q,4.41,4.90,4.41,4.90,4.90,4.90,9,90000,427500.00,
540954,IWP         ,X ,Q,630.00,630.00,600.00,623.50,623.50,621.05,17,506,303801.00,
540961,SHIVAMILLS  ,B ,Q,50.00,58.60,50.00,54.35,54.35,53.20,15,1546,86908.00,
540975,ASTERDM     ,B ,Q,149.00,152.90,149.00,151.30,152.00,150.25,101,2188,330058.00,
540980,YSL         ,XT,Q,10695.30,10695.30,10695.30,10695.30,10695.30,10186.00,5,12,128343.00,
540981,KTKIND4RG   ,B ,Q,8.00,8.58,8.00,8.58,8.58,7.80,4,5211,42841.00,
541005,KANCOTEA    ,X ,Q,57.75,57.75,57.10,57.10,57.10,55.00,8,51,2925.00,
541006,ANGEL       ,M ,Q,27.25,27.25,27.25,27.25,27.25,25.75,1,4000,109000.00,
541019,HGINFRA     ,B ,Q,215.00,225.55,215.00,223.85,220.10,215.15,112,6823,1518004.00,
541083,INFLAME     ,M ,Q,75.00,85.00,75.00,85.00,85.00,75.00,3,6000,470000.00,
541084,DACE2RG     ,B ,Q,7.80,7.80,7.80,7.80,7.80,8.05,1,124,967.00,
541097,LIQUIDETF   ,F ,Q,1000.01,1000.01,999.99,999.99,999.99,1000.01,12,1688,1687983.00,
541112,SHREESHAY   ,M ,Q,22.90,22.95,21.25,21.25,21.25,20.25,15,496000,10834800.00,
541143,BDL         ,B ,Q,272.25,273.95,269.20,271.10,271.10,270.25,139,1694,459250.00,
541153,BANDHANBNK  ,B ,Q,470.15,483.00,470.15,473.35,473.35,468.90,2828,79518,37806038.00,
541154,HAL         ,B ,Q,756.05,781.00,756.05,773.35,773.35,756.20,184,1211,935243.00,
541161,KARDA       ,B ,Q,166.80,179.00,166.80,176.80,176.80,165.35,178,2553,446625.00,
541163,SANDHAR     ,B ,Q,333.00,333.00,316.80,319.55,320.75,320.55,181,3437,1106352.00,
541178,BENARA      ,M ,Q,51.00,61.00,50.30,51.90,51.90,50.95,12,46000,2627200.00,
541179,ISEC        ,B ,Q,262.30,269.70,262.30,267.10,267.10,265.00,2239,61573,16476288.00,
541195,MIDHANI     ,B ,Q,113.75,117.00,113.75,115.90,117.00,112.95,313,10844,1254523.00,
541233,LEMONTREE   ,B ,Q,65.85,68.55,65.85,68.15,68.15,66.20,260,17528,1182934.00,
541269,CHEMFABALKA ,B ,Q,149.45,149.45,145.10,146.70,148.95,142.25,20,805,118023.00,
541301,ORIENTELEC  ,B ,Q,147.40,160.30,147.40,154.80,154.80,146.15,1819,86904,13626285.00,
541302,DHRUV       ,M ,Q,39.80,39.80,39.80,39.80,39.80,39.80,1,2000,79600.00,
541303,AKSHAR      ,M ,Q,19.60,19.60,19.30,19.30,19.30,20.95,4,12000,233400.00,
541336,INDOSTAR    ,B ,Q,328.25,330.50,325.50,328.90,328.00,318.65,53,722,236792.00,
541347,PARVATI     ,T ,Q,4.91,4.91,4.75,4.84,4.91,4.69,10,122700,593757.00,
541353,INNOVATORS  ,M ,Q,51.60,52.50,51.60,52.00,52.00,51.55,5,8000,416160.00,
541400,ZIMLAB      ,X ,Q,142.50,142.50,135.95,135.95,135.95,135.85,6,86,11800.00,
541402,AFFORDABLE  ,M ,Q,105.10,105.50,105.10,105.50,105.50,105.00,2,3200,336960.00,
541403,DOLLAR      ,B ,Q,294.00,299.70,280.40,293.00,293.00,290.00,16,59,16999.00,
541450,ADANIGREEN  ,B ,Q,44.10,45.60,44.10,44.65,44.80,43.35,570,65037,2911172.00,
541503,UNICK       ,XT,Q,36.50,36.50,34.90,35.00,35.00,36.50,6,1042,37932.00,
541540,SOLARA      ,B ,Q,260.25,270.00,260.25,265.20,265.00,265.30,111,2407,639948.00,
541545,TALWGYM     ,B ,Q,115.40,119.50,113.90,118.50,118.05,114.55,435,23441,2763806.00,
